ITERAÇÃO,NR PONTOS SELECIONADOS,TOTAL PONTOS,LISTA DE PONTOS,RESULTADO
1,12,20,1 3 4 5 8 9 10 11 14 15 19 20 ,-3.055835
2,9,20,4 5 8 10 12 13 14 15 17 ,1.335555
3,18,20,1 2 3 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 ,-3.309445
4,10,20,2 3 4 9 10 11 14 18 19 20 ,-4.502001
5,9,20,2 6 9 10 11 15 16 17 18 ,3.211112
6,18,20,1 2 3 5 6 7 8 10 11 12 13 14 15 16 17 18 19 20 ,-1.651111
7,13,20,1 2 3 5 6 8 9 12 14 16 18 19 20 ,-5.686154
8,2,20,15 18 ,2.830000
9,14,20,1 4 5 6 7 8 9 11 12 14 15 18 19 20 ,1.983571
10,8,20,5 6 7 8 12 13 15 19 ,0.906250
11,16,20,1 3 4 5 7 10 11 12 13 14 15 16 17 18 19 20 ,-0.240000
12,7,20,1 6 9 16 17 18 20 ,-1.938571
13,14,20,1 2 3 4 6 9 11 13 14 15 16 17 19 20 ,-2.204286
14,9,20,5 8 9 13 14 15 16 17 19 ,6.124445
15,6,20,2 6 10 12 13 20 ,-1.983333
16,6,20,3 4 5 8 12 20 ,3.865000
17,6,20,2 4 11 12 13 20 ,1.635000
18,6,20,2 9 13 15 16 19 ,3.133334
19,17,20,1 2 3 4 6 7 8 9 10 12 13 14 15 17 18 19 20 ,-5.135293
20,8,20,3 4 6 7 9 11 17 20 ,-0.729999
21,13,20,1 2 3 7 8 9 10 12 14 16 18 19 20 ,-9.194614
22,2,20,15 20 ,2.380000
23,16,20,1 2 3 5 7 8 9 10 11 12 13 14 15 16 17 19 ,-0.342500
24,14,20,1 2 5 6 7 8 9 11 13 14 15 16 18 20 ,1.302858
25,13,20,1 2 3 6 7 8 9 11 13 14 15 16 17 ,0.027692
26,4,20,4 13 18 19 ,1.457500
27,18,20,1 2 3 4 5 6 8 9 10 11 12 13 14 16 17 18 19 20 ,-3.484445
28,2,20,17 18 ,-0.430000
29,17,20,1 2 3 4 6 7 8 9 10 11 12 13 14 17 18 19 20 ,-3.832353
30,2,20,8 11 ,2.085000
31,18,20,1 2 3 4 5 6 7 8 9 10 11 12 13 16 17 18 19 20 ,-3.294446
32,7,20,7 10 12 14 15 16 19 ,-2.340000
33,4,20,2 8 13 18 ,-2.372500
34,7,20,2 5 6 10 17 18 19 ,1.895715
35,5,20,4 5 7 19 20 ,1.442000
36,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-2.375500
37,10,20,2 4 5 8 9 10 14 16 17 19 ,-2.737999
38,9,20,2 3 8 9 14 17 18 19 20 ,-7.970000
39,18,20,1 2 3 4 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-3.641667
40,5,20,2 4 5 6 7 ,2.384000
41,7,20,3 8 9 14 15 17 20 ,-0.864286
42,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-2.375500
43,15,20,1 2 3 4 5 6 9 10 12 15 16 17 18 19 20 ,-5.182667
44,15,20,2 3 4 5 6 8 9 10 11 12 13 14 17 18 19 ,-0.508667
